人类基因	小鼠基因	提取状态
ENSG00000254242	ENSMUSG00000087266	成功
ENSG00000261449	ENSMUSG00000109652	成功
ENSG00000234884	ENSMUSG00000106659	成功
ENSG00000259041	ENSMUSG00000109453	成功
ENSG00000272121	ENSMUSG00000093598	成功
ENSG00000236303	ENSMUSG00000109722	成功
ENSG00000269549	ENSMUSG00000085538	成功
ENSG00000250988	ENSMUSG00000109401	成功
ENSG00000226903	ENSMUSG00000110160	成功
ENSG00000273387	ENSMUSG00000084941	成功
ENSG00000259694	ENSMUSG00000085194	成功
ENSG00000254020	ENSMUSG00000086227	成功
ENSG00000224307	ENSMUSG00000086405	成功
ENSG00000280027	ENSMUSG00000110377	成功
ENSG00000233936	ENSMUSG00000087196	成功
ENSG00000248494	ENSMUSG00000107165	成功
ENSG00000279995	ENSMUSG00000097058	成功
ENSG00000250341	ENSMUSG00000102679	成功
ENSG00000225819	ENSMUSG00000101223	成功
ENSG00000250034	ENSMUSG00000102892	成功
ENSG00000260840	ENSMUSG00000107546	成功
ENSG00000255317	ENSMUSG00000102873	成功
ENSG00000254731	ENSMUSG00000109199	成功
ENSG00000235492	ENSMUSG00000098145	成功
ENSG00000225087	ENSMUSG00000104553	成功
ENSG00000228798	ENSMUSG00000102575	成功
ENSG00000272750	ENSMUSG00000104022	成功
ENSG00000234132	ENSMUSG00000097403	成功
ENSG00000249267	ENSMUSG00000105673	成功
ENSG00000268231	ENSMUSG00000108607	成功
ENSG00000227045	ENSMUSG00000104631	成功
ENSG00000257809	ENSMUSG00000097353	成功
ENSG00000255133	ENSMUSG00000087473	成功
ENSG00000228061	ENSMUSG00000084870	成功
ENSG00000276702	ENSMUSG00000087545	成功
ENSG00000241720	ENSMUSG00000106426	成功
ENSG00000234714	ENSMUSG00000102549	成功
ENSG00000227533	ENSMUSG00000086683	成功
ENSG00000273160	ENSMUSG00000089829	成功
ENSG00000269895	ENSMUSG00000109199	成功
ENSG00000279160	ENSMUSG00000052371	成功
ENSG00000269246	ENSMUSG00000109351	成功
ENSG00000253522	ENSMUSG00000086170	成功
ENSG00000254369	ENSMUSG00000107463	成功
ENSG00000267390	ENSMUSG00000054006	成功
ENSG00000234677	ENSMUSG00000109555	成功
ENSG00000224468	ENSMUSG00000103840	成功
ENSG00000264895	ENSMUSG00000086003	成功
ENSG00000260337	ENSMUSG00000108724	成功
ENSG00000279645	ENSMUSG00000109294	成功
ENSG00000255357	ENSMUSG00000108957	成功
ENSG00000279836	ENSMUSG00000109199	成功
ENSG00000247728	ENSMUSG00000109057	成功
ENSG00000250186	ENSMUSG00000086191	成功
ENSG00000235202	ENSMUSG00000106184	成功
ENSG00000234279	ENSMUSG00000101705	成功
ENSG00000264735	ENSMUSG00000084983	成功
ENSG00000248300	ENSMUSG00000107070	成功
ENSG00000282686	ENSMUSG00000110217	成功
ENSG00000259380	ENSMUSG00000086462	成功
ENSG00000264270	ENSMUSG00000097800	成功
ENSG00000253887	ENSMUSG00000109773	成功
ENSG00000243766	ENSMUSG00000107647	成功
ENSG00000225561	ENSMUSG00000103449	成功
ENSG00000232190	ENSMUSG00000097438	成功
ENSG00000267522	ENSMUSG00000109108	成功
ENSG00000245667	ENSMUSG00000108034	成功
ENSG00000280022	ENSMUSG00000085360	成功
ENSG00000255555	ENSMUSG00000108953	成功
ENSG00000235078	ENSMUSG00000102012	成功
ENSG00000265265	ENSMUSG00000097747	成功
ENSG00000233420	ENSMUSG00000106064	成功
ENSG00000278084	ENSMUSG00000104156	成功
ENSG00000226985	ENSMUSG00000086008	成功
ENSG00000205791	ENSMUSG00000107666	成功
ENSG00000251256	ENSMUSG00000107251	成功
ENSG00000248540	ENSMUSG00000100487	成功
ENSG00000233644	ENSMUSG00000096957	成功
ENSG00000258066	ENSMUSG00000102410	成功
ENSG00000230403	ENSMUSG00000107132	成功
ENSG00000259076	ENSMUSG00000097323	成功
ENSG00000235007	ENSMUSG00000085491	成功
ENSG00000226263	ENSMUSG00000085071	成功
ENSG00000261421	ENSMUSG00000098360	成功
ENSG00000277283	ENSMUSG00000106887	成功
ENSG00000232754	ENSMUSG00000103520	成功
ENSG00000250603	ENSMUSG00000086607	成功
ENSG00000268560	ENSMUSG00000092103	成功
ENSG00000259459	ENSMUSG00000092131	成功
ENSG00000253986	ENSMUSG00000098255	成功
ENSG00000262831	ENSMUSG00000097062	成功
ENSG00000260052	ENSMUSG00000098854	成功
ENSG00000273299	ENSMUSG00000106202	成功
ENSG00000261496	ENSMUSG00000104956	成功
ENSG00000230439	ENSMUSG00000105057	成功
ENSG00000277801	ENSMUSG00000033731	成功
ENSG00000255318	ENSMUSG00000097233	成功
ENSG00000248727	ENSMUSG00000086111	成功
ENSG00000249474	ENSMUSG00000098371	成功
ENSG00000243961	ENSMUSG00000103066	成功
ENSG00000224645	ENSMUSG00000084846	成功
ENSG00000268686	ENSMUSG00000091510	成功
ENSG00000204584	ENSMUSG00000085992	成功
ENSG00000256699	ENSMUSG00000106015	成功
ENSG00000237390	ENSMUSG00000097280	成功
ENSG00000239216	ENSMUSG00000105472	成功
ENSG00000254607	ENSMUSG00000053889	成功
ENSG00000266908	ENSMUSG00000086379	成功
ENSG00000255845	ENSMUSG00000067577	成功
ENSG00000261815	ENSMUSG00000098854	成功
ENSG00000267213	ENSMUSG00000108711	成功
ENSG00000233110	ENSMUSG00000109665	成功
ENSG00000259347	ENSMUSG00000093759	成功
ENSG00000273209	ENSMUSG00000104502	成功
ENSG00000259871	ENSMUSG00000109284	成功
ENSG00000273951	ENSMUSG00000098889	成功
ENSG00000224536	ENSMUSG00000090399	成功
ENSG00000237453	ENSMUSG00000085023	成功
ENSG00000276406	ENSMUSG00000098196	成功
ENSG00000248758	ENSMUSG00000072761	成功
ENSG00000229206	ENSMUSG00000097774	成功
ENSG00000272855	ENSMUSG00000106024	成功
ENSG00000283647	ENSMUSG00000087413	成功
ENSG00000279256	ENSMUSG00000087128	成功
ENSG00000253445	ENSMUSG00000103635	成功
ENSG00000269289	ENSMUSG00000092103	成功
ENSG00000227053	ENSMUSG00000105802	成功
ENSG00000272880	ENSMUSG00000100627	成功
ENSG00000259448	ENSMUSG00000108469	成功
ENSG00000278915	ENSMUSG00000103985	成功
ENSG00000235979	ENSMUSG00000085459	成功
ENSG00000230260	ENSMUSG00000105936	成功
ENSG00000277548	ENSMUSG00000103556	成功
ENSG00000265478	ENSMUSG00000097747	成功
ENSG00000225836	ENSMUSG00000101966	成功
ENSG00000259447	ENSMUSG00000086203	成功
ENSG00000243018	ENSMUSG00000106241	成功
ENSG00000264769	ENSMUSG00000087638	成功
ENSG00000253508	ENSMUSG00000107813	成功
ENSG00000230483	ENSMUSG00000103791	成功
ENSG00000261167	ENSMUSG00000103118	成功
ENSG00000270190	ENSMUSG00000086879	成功
ENSG00000234389	ENSMUSG00000103270	成功
ENSG00000270544	ENSMUSG00000109049	成功
ENSG00000267665	ENSMUSG00000086588	成功
ENSG00000255234	ENSMUSG00000109382	成功
ENSG00000269946	ENSMUSG00000103373	成功
ENSG00000251635	ENSMUSG00000104961	成功
ENSG00000279593	ENSMUSG00000090185	成功
ENSG00000274238	ENSMUSG00000073045	成功
ENSG00000279727	ENSMUSG00000105592	成功
ENSG00000223587	ENSMUSG00000107511	成功
ENSG00000283646	ENSMUSG00000057802	成功
ENSG00000261754	ENSMUSG00000109049	成功
ENSG00000280064	ENSMUSG00000109640	成功
ENSG00000263520	ENSMUSG00000085245	成功
ENSG00000237477	ENSMUSG00000085845	成功
ENSG00000240288	ENSMUSG00000108154	成功
ENSG00000263477	ENSMUSG00000109010	成功
ENSG00000255177	ENSMUSG00000109638	成功
ENSG00000227456	ENSMUSG00000087240	成功
ENSG00000249697	ENSMUSG00000104438	成功
ENSG00000231955	ENSMUSG00000101599	成功
ENSG00000260460	ENSMUSG00000096935	成功
ENSG00000175147	ENSMUSG00000086818	成功
ENSG00000268981	ENSMUSG00000092103	成功
ENSG00000237978	ENSMUSG00000103590	成功
ENSG00000227925	ENSMUSG00000103305	成功
ENSG00000277767	ENSMUSG00000031510	成功
ENSG00000222020	ENSMUSG00000096941	成功
ENSG00000256006	ENSMUSG00000109501	成功
ENSG00000259357	ENSMUSG00000084846	成功
ENSG00000245870	ENSMUSG00000086964	成功
ENSG00000260902	ENSMUSG00000087317	成功
ENSG00000273925	ENSMUSG00000087056	成功
ENSG00000255434	ENSMUSG00000109052	成功
ENSG00000268854	ENSMUSG00000108322	成功
ENSG00000279284	ENSMUSG00000085932	成功
ENSG00000257222	ENSMUSG00000096945	成功
ENSG00000229609	ENSMUSG00000106020	成功
ENSG00000260679	ENSMUSG00000108967	成功
ENSG00000265678	ENSMUSG00000102881	成功
ENSG00000273080	ENSMUSG00000108466	成功
ENSG00000230229	ENSMUSG00000097136	成功
ENSG00000280015	ENSMUSG00000104947	成功
ENSG00000261095	ENSMUSG00000097424	成功
ENSG00000236947	ENSMUSG00000105843	成功
ENSG00000229458	ENSMUSG00000093528	成功
ENSG00000248858	ENSMUSG00000086227	成功
ENSG00000233384	ENSMUSG00000100147	成功
ENSG00000270184	ENSMUSG00000097702	成功
ENSG00000228554	ENSMUSG00000102237	成功
ENSG00000255434	ENSMUSG00000108449	成功
ENSG00000267198	ENSMUSG00000085360	成功
ENSG00000281357	ENSMUSG00000089827	成功
ENSG00000277463	ENSMUSG00000086487	成功
ENSG00000250582	ENSMUSG00000109782	成功
ENSG00000275197	ENSMUSG00000086863	成功
ENSG00000278994	ENSMUSG00000055159	成功
ENSG00000254557	ENSMUSG00000099498	成功
ENSG00000267567	ENSMUSG00000108704	成功
ENSG00000248551	ENSMUSG00000109942	成功
ENSG00000275620	ENSMUSG00000085728	成功
ENSG00000266311	ENSMUSG00000086636	成功
ENSG00000231134	ENSMUSG00000102931	成功
ENSG00000253162	ENSMUSG00000109616	成功
ENSG00000259926	ENSMUSG00000110089	成功
ENSG00000236408	ENSMUSG00000106030	成功
ENSG00000246851	ENSMUSG00000086216	成功
ENSG00000233251	ENSMUSG00000085510	成功
ENSG00000275005	ENSMUSG00000109721	成功
ENSG00000228013	ENSMUSG00000105941	成功
ENSG00000275850	ENSMUSG00000108220	成功
ENSG00000231056	ENSMUSG00000086693	成功
ENSG00000267615	ENSMUSG00000087072	成功
ENSG00000270117	ENSMUSG00000043488	成功
ENSG00000236908	ENSMUSG00000056771	成功
ENSG00000249873	ENSMUSG00000105316	成功
ENSG00000225891	ENSMUSG00000084789	成功
ENSG00000253267	ENSMUSG00000102615	成功
ENSG00000275345	ENSMUSG00000108436	成功
ENSG00000230294	ENSMUSG00000104814	成功
ENSG00000236525	ENSMUSG00000103270	成功
ENSG00000225205	ENSMUSG00000097235	成功
ENSG00000224167	ENSMUSG00000106251	成功
ENSG00000232474	ENSMUSG00000101600	成功
ENSG00000269821	ENSMUSG00000101360	成功
ENSG00000273521	ENSMUSG00000109881	成功
ENSG00000258843	ENSMUSG00000097329	成功
ENSG00000259615	ENSMUSG00000108776	成功
ENSG00000257023	ENSMUSG00000108094	成功
ENSG00000240801	ENSMUSG00000000031	成功
ENSG00000227659	ENSMUSG00000100585	成功
ENSG00000227386	ENSMUSG00000108236	成功
ENSG00000237556	ENSMUSG00000106341	成功
ENSG00000232536	ENSMUSG00000105391	成功
ENSG00000261191	ENSMUSG00000086735	成功
ENSG00000235149	ENSMUSG00000084954	成功
ENSG00000280194	ENSMUSG00000101029	成功
ENSG00000189149	ENSMUSG00000109414	成功
ENSG00000232500	ENSMUSG00000084825	成功
ENSG00000188693	ENSMUSG00000104950	成功
ENSG00000237301	ENSMUSG00000086818	成功
ENSG00000231985	ENSMUSG00000102322	成功
ENSG00000268739	ENSMUSG00000108781	成功
ENSG00000272334	ENSMUSG00000105592	成功
ENSG00000236255	ENSMUSG00000101791	成功
ENSG00000269653	ENSMUSG00000109351	成功
ENSG00000253613	ENSMUSG00000097710	成功
ENSG00000196366	ENSMUSG00000090073	成功
ENSG00000259385	ENSMUSG00000087056	成功
ENSG00000259415	ENSMUSG00000108987	成功
ENSG00000259041	ENSMUSG00000108876	成功
ENSG00000248112	ENSMUSG00000103069	成功
ENSG00000261543	ENSMUSG00000100487	成功
ENSG00000277987	ENSMUSG00000109096	成功
ENSG00000229739	ENSMUSG00000097028	成功
ENSG00000267535	ENSMUSG00000085104	成功
ENSG00000255760	ENSMUSG00000107526	成功
ENSG00000275764	ENSMUSG00000107743	成功
ENSG00000280020	ENSMUSG00000097335	成功
ENSG00000256077	ENSMUSG00000100681	成功
ENSG00000259548	ENSMUSG00000101698	成功
ENSG00000184566	ENSMUSG00000086687	成功
ENSG00000262714	ENSMUSG00000110106	成功
ENSG00000224167	ENSMUSG00000104973	成功
ENSG00000235016	ENSMUSG00000103164	成功
ENSG00000250418	ENSMUSG00000100727	成功
ENSG00000278029	ENSMUSG00000109013	成功
ENSG00000273824	ENSMUSG00000102896	成功
ENSG00000228798	ENSMUSG00000102854	成功
ENSG00000235139	ENSMUSG00000105528	成功
ENSG00000259580	ENSMUSG00000045339	成功
ENSG00000276633	ENSMUSG00000085468	成功
ENSG00000226854	ENSMUSG00000100364	成功
ENSG00000258216	ENSMUSG00000102310	成功
ENSG00000233602	ENSMUSG00000086320	成功
ENSG00000228973	ENSMUSG00000102605	成功
ENSG00000226167	ENSMUSG00000105229	成功
ENSG00000234504	ENSMUSG00000107785	成功
ENSG00000251183	ENSMUSG00000086933	成功
ENSG00000273680	ENSMUSG00000107706	成功
ENSG00000233214	ENSMUSG00000108546	成功
ENSG00000225948	ENSMUSG00000102196	成功
ENSG00000224209	ENSMUSG00000103097	成功
ENSG00000228683	ENSMUSG00000048628	成功
ENSG00000231933	ENSMUSG00000098027	成功
ENSG00000255438	ENSMUSG00000086820	成功
ENSG00000230322	ENSMUSG00000086109	成功
ENSG00000278013	ENSMUSG00000109140	成功
ENSG00000255487	ENSMUSG00000110127	成功
ENSG00000228008	ENSMUSG00000102670	成功
ENSG00000260918	ENSMUSG00000093400	成功
ENSG00000255946	ENSMUSG00000106838	成功
ENSG00000253851	ENSMUSG00000097875	成功
ENSG00000274478	ENSMUSG00000097438	成功
ENSG00000241042	ENSMUSG00000100129	成功
ENSG00000279173	ENSMUSG00000087277	成功
ENSG00000234913	ENSMUSG00000086527	成功
ENSG00000254835	ENSMUSG00000084962	成功
ENSG00000281450	ENSMUSG00000097125	成功
ENSG00000279622	ENSMUSG00000089776	成功
ENSG00000259256	ENSMUSG00000093622	成功
ENSG00000253187	ENSMUSG00000087626	成功
ENSG00000280202	ENSMUSG00000107219	成功
ENSG00000227933	ENSMUSG00000085351	成功
ENSG00000225988	ENSMUSG00000086928	成功
ENSG00000259123	ENSMUSG00000108345	成功
ENSG00000279778	ENSMUSG00000105917	成功
ENSG00000256814	ENSMUSG00000104932	成功
ENSG00000257151	ENSMUSG00000108943	成功
ENSG00000270114	ENSMUSG00000086505	成功
ENSG00000218109	ENSMUSG00000097355	成功
ENSG00000280076	ENSMUSG00000101843	成功
ENSG00000269038	ENSMUSG00000079467	成功
ENSG00000264932	ENSMUSG00000109829	成功
ENSG00000279173	ENSMUSG00000108234	成功
ENSG00000269950	ENSMUSG00000102289	成功
ENSG00000188477	ENSMUSG00000109303	成功
ENSG00000230415	ENSMUSG00000073679	成功
ENSG00000227485	ENSMUSG00000104479	成功
ENSG00000263278	ENSMUSG00000084887	成功
ENSG00000279655	ENSMUSG00000087626	成功
ENSG00000276916	ENSMUSG00000110412	成功
ENSG00000253787	ENSMUSG00000104214	成功
ENSG00000254787	ENSMUSG00000109574	成功
ENSG00000231160	ENSMUSG00000105402	成功
ENSG00000256551	ENSMUSG00000104778	成功
ENSG00000257725	ENSMUSG00000102310	成功
ENSG00000248206	ENSMUSG00000109606	成功
ENSG00000271716	ENSMUSG00000107723	成功
ENSG00000273420	ENSMUSG00000108739	成功
ENSG00000272106	ENSMUSG00000097728	成功
ENSG00000234160	ENSMUSG00000086000	成功
ENSG00000266696	ENSMUSG00000092569	成功
ENSG00000214708	ENSMUSG00000085078	成功
ENSG00000255516	ENSMUSG00000097423	成功
ENSG00000229425	ENSMUSG00000109338	成功
ENSG00000280015	ENSMUSG00000106205	成功
ENSG00000271533	ENSMUSG00000097953	成功
ENSG00000189275	ENSMUSG00000109855	成功
ENSG00000275418	ENSMUSG00000103194	成功
ENSG00000233521	ENSMUSG00000101683	成功
ENSG00000172965	ENSMUSG00000086879	成功
ENSG00000234703	ENSMUSG00000097139	成功
ENSG00000232597	ENSMUSG00000100185	成功
ENSG00000260201	ENSMUSG00000109254	成功
ENSG00000226286	ENSMUSG00000084987	成功
ENSG00000258554	ENSMUSG00000097691	成功
ENSG00000256007	ENSMUSG00000092364	成功
ENSG00000258731	ENSMUSG00000085866	成功
ENSG00000254630	ENSMUSG00000108449	成功
ENSG00000237063	ENSMUSG00000086872	成功
ENSG00000253369	ENSMUSG00000102907	成功
ENSG00000273211	ENSMUSG00000103970	成功
ENSG00000224977	ENSMUSG00000104020	成功
ENSG00000257683	ENSMUSG00000107364	成功
ENSG00000261504	ENSMUSG00000100334	成功
ENSG00000271895	ENSMUSG00000086326	成功
ENSG00000263674	ENSMUSG00000085078	成功
ENSG00000224515	ENSMUSG00000053925	成功
ENSG00000257663	ENSMUSG00000087690	成功
ENSG00000260693	ENSMUSG00000108620	成功
ENSG00000267263	ENSMUSG00000085419	成功
ENSG00000256948	ENSMUSG00000097011	成功
ENSG00000279237	ENSMUSG00000109358	成功
ENSG00000262213	ENSMUSG00000087059	成功
ENSG00000237293	ENSMUSG00000107809	成功
ENSG00000230454	ENSMUSG00000102670	成功
ENSG00000261823	ENSMUSG00000102225	成功
ENSG00000272226	ENSMUSG00000100129	成功
ENSG00000269972	ENSMUSG00000084941	成功
ENSG00000275557	ENSMUSG00000104745	成功
ENSG00000257759	ENSMUSG00000091587	成功
ENSG00000222022	ENSMUSG00000103978	成功
ENSG00000242618	ENSMUSG00000107528	成功
ENSG00000255858	ENSMUSG00000107743	成功
ENSG00000272420	ENSMUSG00000098729	成功
ENSG00000234912	ENSMUSG00000056032	成功
ENSG00000277548	ENSMUSG00000102971	成功
ENSG00000240015	ENSMUSG00000110120	成功
ENSG00000255041	ENSMUSG00000085261	成功
ENSG00000234614	ENSMUSG00000097515	成功
ENSG00000283423	ENSMUSG00000095651	成功
ENSG00000213062	ENSMUSG00000086593	成功
ENSG00000233611	ENSMUSG00000103252	成功
ENSG00000257060	ENSMUSG00000100138	成功
ENSG00000224865	ENSMUSG00000086720	成功
ENSG00000236986	ENSMUSG00000085737	成功
ENSG00000267892	ENSMUSG00000109262	成功
ENSG00000234091	ENSMUSG00000086018	成功
ENSG00000248984	ENSMUSG00000108246	成功
ENSG00000257086	ENSMUSG00000085285	成功
ENSG00000267049	ENSMUSG00000109224	成功
ENSG00000233602	ENSMUSG00000087228	成功
ENSG00000259436	ENSMUSG00000108545	成功
ENSG00000234279	ENSMUSG00000096941	成功
ENSG00000271874	ENSMUSG00000096971	成功
ENSG00000225792	ENSMUSG00000108236	成功
ENSG00000240710	ENSMUSG00000101102	成功
ENSG00000257519	ENSMUSG00000106938	成功
ENSG00000271065	ENSMUSG00000097093	成功
ENSG00000231216	ENSMUSG00000084920	成功
ENSG00000230337	ENSMUSG00000087217	成功
ENSG00000255317	ENSMUSG00000102567	成功
ENSG00000260750	ENSMUSG00000097424	成功
ENSG00000278765	ENSMUSG00000078700	成功
ENSG00000228539	ENSMUSG00000087029	成功
ENSG00000270178	ENSMUSG00000104283	成功
ENSG00000269050	ENSMUSG00000109307	成功
ENSG00000269910	ENSMUSG00000090026	成功
ENSG00000259971	ENSMUSG00000109868	成功
ENSG00000236795	ENSMUSG00000108008	成功
ENSG00000235180	ENSMUSG00000050066	成功
ENSG00000204464	ENSMUSG00000085761	成功
ENSG00000238290	ENSMUSG00000085213	成功
ENSG00000228329	ENSMUSG00000108184	成功
ENSG00000276952	ENSMUSG00000100630	成功
ENSG00000239791	ENSMUSG00000108465	成功
ENSG00000230532	ENSMUSG00000103376	成功
ENSG00000230753	ENSMUSG00000085483	成功
ENSG00000280048	ENSMUSG00000108899	成功
ENSG00000261737	ENSMUSG00000106361	成功
ENSG00000236795	ENSMUSG00000107782	成功
ENSG00000283073	ENSMUSG00000104327	成功
ENSG00000267044	ENSMUSG00000087206	成功
ENSG00000251126	ENSMUSG00000097456	成功
ENSG00000236795	ENSMUSG00000107858	成功
ENSG00000235597	ENSMUSG00000053640	成功
ENSG00000274227	ENSMUSG00000106590	成功
ENSG00000204832	ENSMUSG00000104354	成功
ENSG00000260695	ENSMUSG00000109848	成功
ENSG00000255471	ENSMUSG00000108875	成功
ENSG00000255839	ENSMUSG00000106082	成功
ENSG00000215386	ENSMUSG00000102267	成功
ENSG00000277135	ENSMUSG00000109018	成功
ENSG00000268318	ENSMUSG00000108783	成功
ENSG00000261229	ENSMUSG00000102156	成功
