人类基因	小鼠基因	人类转录本	小鼠转录本	提取状态
ENSG00000275542	ENSMUSG00000075389	ENST00000622907	ENSMUST00000145437	成功
ENSG00000260577	ENSMUSG00000097026	ENST00000562172	ENSMUST00000180410	成功
ENSG00000279095	ENSMUSG00000109136	ENST00000623022	ENSMUST00000208280	成功
ENSG00000251370	ENSMUSG00000096956	ENST00000510879	ENSMUST00000181536	成功
ENSG00000262791	ENSMUSG00000085148	ENST00000576540	ENSMUST00000149940	成功
ENSG00000259356	ENSMUSG00000109539	ENST00000560128	ENSMUST00000207632	成功
ENSG00000267506	ENSMUSG00000086588	ENST00000590398	ENSMUST00000124901	成功
ENSG00000275613	ENSMUSG00000087407	ENST00000610398	ENSMUST00000155046	成功
ENSG00000278962	ENSMUSG00000085498	ENST00000624058	ENSMUST00000144178	成功
ENSG00000267489	ENSMUSG00000100387	ENST00000590053	ENSMUST00000187488	成功
ENSG00000179082	ENSMUSG00000085275	ENST00000316786	ENSMUST00000145413	成功
ENSG00000168746	ENSMUSG00000087129	ENST00000372910	ENSMUST00000154065	成功
ENSG00000279900	ENSMUSG00000074024	ENST00000624584	ENSMUST00000147198	成功
ENSG00000257346	ENSMUSG00000097414	ENST00000553174	ENSMUST00000181510	成功
ENSG00000254614	ENSMUSG00000097404	ENST00000526623	ENSMUST00000180505	成功
ENSG00000261924	ENSMUSG00000085207	ENST00000573602	ENSMUST00000129379	成功
ENSG00000259941	ENSMUSG00000102225	ENST00000564401	ENSMUST00000193207	成功
ENSG00000273145	ENSMUSG00000101828	ENST00000608290	ENSMUST00000189171	成功
ENSG00000267637	ENSMUSG00000086199	ENST00000590850	ENSMUST00000151652	成功
ENSG00000251432	ENSMUSG00000105517	ENST00000513851	ENSMUST00000198804	成功
ENSG00000260102	ENSMUSG00000047935	ENST00000561786	ENSMUST00000186174	成功
ENSG00000243149	ENSMUSG00000108286	ENST00000481004	ENSMUST00000204131	成功
ENSG00000226913	ENSMUSG00000103970	ENST00000421598	ENSMUST00000192908	成功
ENSG00000238043	ENSMUSG00000097184	ENST00000426616	ENSMUST00000181485	成功
ENSG00000269243	ENSMUSG00000097472	ENST00000597983	ENSMUST00000181918	成功
ENSG00000275476	ENSMUSG00000107706	ENST00000620496	ENSMUST00000203708	成功
ENSG00000266466	ENSMUSG00000097747	ENST00000579239	ENSMUST00000181687	成功
ENSG00000168746	ENSMUSG00000046840	ENST00000637248	ENSMUST00000128896	成功
ENSG00000261646	ENSMUSG00000096917	ENST00000563631	ENSMUST00000180690	成功
ENSG00000261231	ENSMUSG00000098439	ENST00000565451	ENSMUST00000183645	成功
ENSG00000279606	ENSMUSG00000086919	ENST00000624834	ENSMUST00000138295	成功
ENSG00000228173	ENSMUSG00000104137	ENST00000456513	ENSMUST00000195362	成功
ENSG00000205592	ENSMUSG00000044021	ENST00000454784	ENSMUST00000178108	成功
ENSG00000226803	ENSMUSG00000103364	ENST00000591553	ENSMUST00000194178	成功
ENSG00000235910	ENSMUSG00000097463	ENST00000444200	ENSMUST00000181712	成功
ENSG00000280711	ENSMUSG00000105297	ENST00000626286	ENSMUST00000196142	成功
ENSG00000245248	ENSMUSG00000097617	ENST00000498979	ENSMUST00000180670	成功
ENSG00000277159	ENSMUSG00000086770	ENST00000613809	ENSMUST00000153095	成功
ENSG00000184224	ENSMUSG00000097233	ENST00000333139	ENSMUST00000181211	成功
ENSG00000258260	ENSMUSG00000097372	ENST00000546464	ENSMUST00000180875	成功
ENSG00000269296	ENSMUSG00000108520	ENST00000598952	ENSMUST00000205388	成功
ENSG00000254653	ENSMUSG00000075027	ENST00000528480	ENSMUST00000136401	成功
ENSG00000258458	ENSMUSG00000104658	ENST00000554194	ENSMUST00000198124	成功
ENSG00000223806	ENSMUSG00000085329	ENST00000411989	ENSMUST00000156615	成功
ENSG00000235741	ENSMUSG00000085304	ENST00000433377	ENSMUST00000145510	成功
ENSG00000223813	ENSMUSG00000086946	ENST00000447171	ENSMUST00000138259	成功
ENSG00000236643	ENSMUSG00000107468	ENST00000438380	ENSMUST00000204297	成功
ENSG00000239213	ENSMUSG00000104272	ENST00000461864	ENSMUST00000195122	成功
ENSG00000262815	ENSMUSG00000087242	ENST00000576477	ENSMUST00000152781	成功
ENSG00000255843	ENSMUSG00000110301	ENST00000546065	ENSMUST00000209330	成功
ENSG00000249859	ENSMUSG00000097039	ENST00000512617	ENSMUST00000182141	成功
ENSG00000275401	ENSMUSG00000085385	ENST00000621084	ENSMUST00000149667	成功
ENSG00000240990	ENSMUSG00000086427	ENST00000479766	ENSMUST00000137729	成功
ENSG00000251602	ENSMUSG00000097476	ENST00000551271	ENSMUST00000181436	成功
ENSG00000231367	ENSMUSG00000103091	ENST00000438085	ENSMUST00000195711	成功
ENSG00000273209	ENSMUSG00000097819	ENST00000608741	ENSMUST00000180778	成功
ENSG00000258337	ENSMUSG00000107116	ENST00000549373	ENSMUST00000202545	成功
ENSG00000245812	ENSMUSG00000102563	ENST00000523301	ENSMUST00000191765	成功
ENSG00000279393	ENSMUSG00000106820	ENST00000623899	ENSMUST00000201128	成功
ENSG00000272477	ENSMUSG00000103216	ENST00000607148	ENSMUST00000193576	成功
ENSG00000283392	ENSMUSG00000107794	ENST00000635800	ENSMUST00000204631	成功
ENSG00000234456	ENSMUSG00000106498	ENST00000452320	ENSMUST00000197967	成功
ENSG00000255335	ENSMUSG00000109962	ENST00000529781	ENSMUST00000211477	成功
ENSG00000232408	ENSMUSG00000104002	ENST00000457169	ENSMUST00000193040	成功
ENSG00000258017	ENSMUSG00000097587	ENST00000548149	ENSMUST00000180490	成功
ENSG00000259521	ENSMUSG00000085438	ENST00000560178	ENSMUST00000153581	成功
ENSG00000226026	ENSMUSG00000106022	ENST00000419846	ENSMUST00000198374	成功
ENSG00000277597	ENSMUSG00000109715	ENST00000615078	ENSMUST00000209836	成功
ENSG00000231566	ENSMUSG00000097497	ENST00000456532	ENSMUST00000180592	成功
ENSG00000131484	ENSMUSG00000086794	ENST00000588189	ENSMUST00000150442	成功
ENSG00000225632	ENSMUSG00000086940	ENST00000426901	ENSMUST00000151369	成功
ENSG00000250781	ENSMUSG00000107041	ENST00000508911	ENSMUST00000201718	成功
ENSG00000278901	ENSMUSG00000103384	ENST00000625195	ENSMUST00000192178	成功
ENSG00000227459	ENSMUSG00000096941	ENST00000446029	ENSMUST00000181260	成功
ENSG00000257563	ENSMUSG00000108693	ENST00000549796	ENSMUST00000205957	成功
ENSG00000259283	ENSMUSG00000109669	ENST00000558730	ENSMUST00000211295	成功
ENSG00000255108	ENSMUSG00000073787	ENST00000532946	ENSMUST00000097947	成功
ENSG00000227407	ENSMUSG00000086155	ENST00000457113	ENSMUST00000149343	成功
ENSG00000271973	ENSMUSG00000025644	ENST00000607025	ENSMUST00000134690	成功
ENSG00000225792	ENSMUSG00000108145	ENST00000451368	ENSMUST00000203781	成功
ENSG00000230731	ENSMUSG00000101009	ENST00000421190	ENSMUST00000189375	成功
ENSG00000264243	ENSMUSG00000085307	ENST00000581213	ENSMUST00000134436	成功
ENSG00000266664	ENSMUSG00000085748	ENST00000584365	ENSMUST00000155836	成功
ENSG00000259347	ENSMUSG00000086539	ENST00000636067	ENSMUST00000191455	成功
ENSG00000272463	ENSMUSG00000087460	ENST00000606285	ENSMUST00000153175	成功
ENSG00000260239	ENSMUSG00000085962	ENST00000563079	ENSMUST00000171079	成功
ENSG00000276533	ENSMUSG00000104273	ENST00000611214	ENSMUST00000195338	成功
ENSG00000257359	ENSMUSG00000097368	ENST00000550206	ENSMUST00000181905	成功
ENSG00000274425	ENSMUSG00000102340	ENST00000612689	ENSMUST00000192279	成功
ENSG00000267968	ENSMUSG00000108781	ENST00000598079	ENSMUST00000206293	成功
ENSG00000272729	ENSMUSG00000052371	ENST00000608941	ENSMUST00000156342	成功
ENSG00000234215	ENSMUSG00000100420	ENST00000436600	ENSMUST00000187344	成功
ENSG00000266312	ENSMUSG00000097738	ENST00000582231	ENSMUST00000181345	成功
ENSG00000283155	ENSMUSG00000102634	ENST00000513766	ENSMUST00000194001	成功
ENSG00000234944	ENSMUSG00000107608	ENST00000421320	ENSMUST00000203822	成功
ENSG00000259941	ENSMUSG00000102672	ENST00000564401	ENSMUST00000192251	成功
ENSG00000272815	ENSMUSG00000072893	ENST00000602730	ENSMUST00000138763	成功
ENSG00000183470	ENSMUSG00000086763	ENST00000332558	ENSMUST00000150314	成功
ENSG00000262294	ENSMUSG00000087059	ENST00000572499	ENSMUST00000127424	成功
ENSG00000234945	ENSMUSG00000107201	ENST00000626256	ENSMUST00000202893	成功
ENSG00000269416	ENSMUSG00000103398	ENST00000602077	ENSMUST00000195630	成功
ENSG00000255050	ENSMUSG00000085523	ENST00000531730	ENSMUST00000146755	成功
ENSG00000279652	ENSMUSG00000086467	ENST00000625157	ENSMUST00000132871	成功
ENSG00000227128	ENSMUSG00000102057	ENST00000430651	ENSMUST00000191181	成功
ENSG00000270160	ENSMUSG00000099148	ENST00000602773	ENSMUST00000183423	成功
ENSG00000229852	ENSMUSG00000104138	ENST00000441363	ENSMUST00000192487	成功
ENSG00000236947	ENSMUSG00000097156	ENST00000441085	ENSMUST00000180984	成功
ENSG00000278887	ENSMUSG00000108806	ENST00000624024	ENSMUST00000206759	成功
ENSG00000257702	ENSMUSG00000087578	ENST00000603175	ENSMUST00000141639	成功
ENSG00000234948	ENSMUSG00000052368	ENST00000428009	ENSMUST00000180562	成功
ENSG00000225437	ENSMUSG00000089633	ENST00000433489	ENSMUST00000160738	成功
ENSG00000225216	ENSMUSG00000100426	ENST00000629410	ENSMUST00000189802	成功
ENSG00000272662	ENSMUSG00000097576	ENST00000609598	ENSMUST00000180735	成功
ENSG00000253396	ENSMUSG00000086741	ENST00000521725	ENSMUST00000141930	成功
ENSG00000272562	ENSMUSG00000097347	ENST00000609423	ENSMUST00000181811	成功
ENSG00000270055	ENSMUSG00000098708	ENST00000602663	ENSMUST00000184360	成功
ENSG00000273046	ENSMUSG00000104327	ENST00000512206	ENSMUST00000193409	成功
ENSG00000250608	ENSMUSG00000093590	ENST00000502521	ENSMUST00000177284	成功
ENSG00000238121	ENSMUSG00000106951	ENST00000452659	ENSMUST00000145042	成功
ENSG00000265749	ENSMUSG00000072809	ENST00000583963	ENSMUST00000101007	成功
ENSG00000260115	ENSMUSG00000109775	ENST00000562349	ENSMUST00000209893	成功
ENSG00000177335	ENSMUSG00000100287	ENST00000395172	ENSMUST00000190861	成功
ENSG00000279065	ENSMUSG00000100017	ENST00000624851	ENSMUST00000186474	成功
ENSG00000268654	ENSMUSG00000109416	ENST00000599641	ENSMUST00000207613	成功
ENSG00000249425	ENSMUSG00000103849	ENST00000512652	ENSMUST00000194524	成功
ENSG00000265287	ENSMUSG00000097165	ENST00000579019	ENSMUST00000180805	成功
ENSG00000256811	ENSMUSG00000105881	ENST00000543848	ENSMUST00000195992	成功
ENSG00000255746	ENSMUSG00000097011	ENST00000540868	ENSMUST00000181738	成功
ENSG00000262227	ENSMUSG00000085251	ENST00000574260	ENSMUST00000132986	成功
ENSG00000255808	ENSMUSG00000109656	ENST00000540912	ENSMUST00000210076	成功
ENSG00000248730	ENSMUSG00000090199	ENST00000512496	ENSMUST00000161643	成功
ENSG00000266473	ENSMUSG00000059706	ENST00000585193	ENSMUST00000147445	成功
ENSG00000279943	ENSMUSG00000109785	ENST00000623820	ENSMUST00000210456	成功
ENSG00000270036	ENSMUSG00000102419	ENST00000602530	ENSMUST00000194281	成功
ENSG00000230215	ENSMUSG00000096918	ENST00000421870	ENSMUST00000181476	成功
ENSG00000256232	ENSMUSG00000107526	ENST00000541749	ENSMUST00000205198	成功
ENSG00000262061	ENSMUSG00000087059	ENST00000575743	ENSMUST00000127424	成功
ENSG00000233729	ENSMUSG00000104519	ENST00000424510	ENSMUST00000191994	成功
ENSG00000278709	ENSMUSG00000074555	ENST00000613231	ENSMUST00000131346	成功
ENSG00000267506	ENSMUSG00000086859	ENST00000590398	ENSMUST00000145438	成功
ENSG00000250436	ENSMUSG00000106725	ENST00000502291	ENSMUST00000201590	成功
ENSG00000214548	ENSMUSG00000102657	ENST00000522771	ENSMUST00000193116	成功
ENSG00000240875	ENSMUSG00000103440	ENST00000472943	ENSMUST00000192502	成功
ENSG00000283355	ENSMUSG00000086190	ENST00000636429	ENSMUST00000130943	成功
ENSG00000254081	ENSMUSG00000103135	ENST00000520902	ENSMUST00000193065	成功
ENSG00000237410	ENSMUSG00000052188	ENST00000433606	ENSMUST00000149574	成功
ENSG00000226791	ENSMUSG00000102650	ENST00000629175	ENSMUST00000192480	成功
ENSG00000269289	ENSMUSG00000097360	ENST00000596326	ENSMUST00000180908	成功
ENSG00000273129	ENSMUSG00000097028	ENST00000608917	ENSMUST00000181460	成功
ENSG00000227598	ENSMUSG00000058159	ENST00000444102	ENSMUST00000169635	成功
ENSG00000272639	ENSMUSG00000109249	ENST00000558568	ENSMUST00000209012	成功
ENSG00000227540	ENSMUSG00000084925	ENST00000457758	ENSMUST00000124940	成功
ENSG00000259444	ENSMUSG00000097381	ENST00000559843	ENSMUST00000181055	成功
ENSG00000280924	ENSMUSG00000097540	ENST00000628516	ENSMUST00000181254	成功
ENSG00000274427	ENSMUSG00000105228	ENST00000610631	ENSMUST00000200448	成功
ENSG00000267582	ENSMUSG00000103593	ENST00000591242	ENSMUST00000193908	成功
ENSG00000232164	ENSMUSG00000104184	ENST00000428647	ENSMUST00000194952	成功
ENSG00000213057	ENSMUSG00000102960	ENST00000521244	ENSMUST00000194053	成功
ENSG00000261771	ENSMUSG00000102411	ENST00000568310	ENSMUST00000194508	成功
ENSG00000234248	ENSMUSG00000103774	ENST00000457632	ENSMUST00000195226	成功
ENSG00000261140	ENSMUSG00000085185	ENST00000562232	ENSMUST00000137883	成功
ENSG00000235423	ENSMUSG00000105382	ENST00000541002	ENSMUST00000200032	成功
ENSG00000237453	ENSMUSG00000086172	ENST00000450503	ENSMUST00000137882	成功
ENSG00000227764	ENSMUSG00000055833	ENST00000412871	ENSMUST00000069573	成功
ENSG00000244345	ENSMUSG00000107558	ENST00000478745	ENSMUST00000204605	成功
ENSG00000272762	ENSMUSG00000086296	ENST00000488257	ENSMUST00000150953	成功
ENSG00000277459	ENSMUSG00000092185	ENST00000614441	ENSMUST00000174760	成功
ENSG00000247324	ENSMUSG00000078143	ENST00000500612	ENSMUST00000171173	成功
ENSG00000231636	ENSMUSG00000107086	ENST00000444217	ENSMUST00000202534	成功
ENSG00000269553	ENSMUSG00000063623	ENST00000597110	ENSMUST00000077142	成功
ENSG00000253726	ENSMUSG00000102937	ENST00000519427	ENSMUST00000193873	成功
ENSG00000279249	ENSMUSG00000098257	ENST00000623424	ENSMUST00000183344	成功
ENSG00000228737	ENSMUSG00000104225	ENST00000422040	ENSMUST00000191880	成功
ENSG00000251637	ENSMUSG00000082848	ENST00000511677	ENSMUST00000118575	成功
ENSG00000256440	ENSMUSG00000085658	ENST00000545704	ENSMUST00000144757	成功
ENSG00000273247	ENSMUSG00000102775	ENST00000610159	ENSMUST00000193090	成功
ENSG00000249906	ENSMUSG00000084856	ENST00000514506	ENSMUST00000156822	成功
ENSG00000279298	ENSMUSG00000106191	ENST00000623422	ENSMUST00000200193	成功
ENSG00000223561	ENSMUSG00000107619	ENST00000423689	ENSMUST00000204226	成功
ENSG00000259248	ENSMUSG00000091745	ENST00000561256	ENSMUST00000166507	成功
ENSG00000279653	ENSMUSG00000100201	ENST00000623695	ENSMUST00000187366	成功
ENSG00000236627	ENSMUSG00000097796	ENST00000435810	ENSMUST00000181180	成功
ENSG00000240777	ENSMUSG00000109849	ENST00000472243	ENSMUST00000211470	成功
ENSG00000245694	ENSMUSG00000099812	ENST00000557792	ENSMUST00000189823	成功
ENSG00000281649	ENSMUSG00000070997	ENST00000625445	ENSMUST00000186030	成功
ENSG00000254649	ENSMUSG00000085560	ENST00000527030	ENSMUST00000136294	成功
ENSG00000226355	ENSMUSG00000087435	ENST00000439014	ENSMUST00000134920	成功
ENSG00000279314	ENSMUSG00000106738	ENST00000624392	ENSMUST00000202386	成功
ENSG00000198711	ENSMUSG00000086940	ENST00000361350	ENSMUST00000151369	成功
ENSG00000250564	ENSMUSG00000086920	ENST00000512748	ENSMUST00000143016	成功
ENSG00000261616	ENSMUSG00000109115	ENST00000564527	ENSMUST00000207774	成功
ENSG00000236822	ENSMUSG00000096963	ENST00000454401	ENSMUST00000181479	成功
ENSG00000268912	ENSMUSG00000110320	ENST00000594816	ENSMUST00000210319	成功
ENSG00000234789	ENSMUSG00000085275	ENST00000455074	ENSMUST00000145413	成功
ENSG00000183242	ENSMUSG00000074987	ENST00000395900	ENSMUST00000135153	成功
ENSG00000267939	ENSMUSG00000089956	ENST00000599756	ENSMUST00000160490	成功
ENSG00000203688	ENSMUSG00000085705	ENST00000400831	ENSMUST00000150889	成功
ENSG00000240401	ENSMUSG00000084850	ENST00000626674	ENSMUST00000125194	成功
ENSG00000232453	ENSMUSG00000100129	ENST00000634763	ENSMUST00000187014	成功
ENSG00000267002	ENSMUSG00000086347	ENST00000634994	ENSMUST00000142107	成功
ENSG00000233532	ENSMUSG00000109371	ENST00000435024	ENSMUST00000207035	成功
ENSG00000225113	ENSMUSG00000087357	ENST00000436416	ENSMUST00000138374	成功
ENSG00000233613	ENSMUSG00000099338	ENST00000453584	ENSMUST00000190461	成功
ENSG00000226332	ENSMUSG00000084843	ENST00000414042	ENSMUST00000145549	成功
ENSG00000258735	ENSMUSG00000090193	ENST00000556586	ENSMUST00000159897	成功
ENSG00000251279	ENSMUSG00000090358	ENST00000506902	ENSMUST00000164299	成功
ENSG00000245322	ENSMUSG00000106629	ENST00000515026	ENSMUST00000198291	成功
ENSG00000279110	ENSMUSG00000106191	ENST00000623980	ENSMUST00000200193	成功
ENSG00000233791	ENSMUSG00000100987	ENST00000457348	ENSMUST00000188504	成功
ENSG00000177640	ENSMUSG00000099678	ENST00000414722	ENSMUST00000186261	成功
ENSG00000250007	ENSMUSG00000087694	ENST00000503496	ENSMUST00000135729	成功
ENSG00000261043	ENSMUSG00000102617	ENST00000561777	ENSMUST00000192330	成功
ENSG00000230138	ENSMUSG00000087289	ENST00000449958	ENSMUST00000132609	成功
ENSG00000261420	ENSMUSG00000090069	ENST00000568025	ENSMUST00000160545	成功
ENSG00000249145	ENSMUSG00000103608	ENST00000509453	ENSMUST00000193163	成功
ENSG00000254251	ENSMUSG00000086587	ENST00000517884	ENSMUST00000137532	成功
ENSG00000267734	ENSMUSG00000106266	ENST00000585888	ENSMUST00000198471	成功
ENSG00000264812	ENSMUSG00000084853	ENST00000579188	ENSMUST00000139327	成功
ENSG00000270760	ENSMUSG00000097320	ENST00000604228	ENSMUST00000180820	成功
ENSG00000279770	ENSMUSG00000110278	ENST00000625151	ENSMUST00000210253	成功
ENSG00000271857	ENSMUSG00000073394	ENST00000606796	ENSMUST00000097320	成功
ENSG00000184809	ENSMUSG00000087282	ENST00000329618	ENSMUST00000129569	成功
ENSG00000235300	ENSMUSG00000075589	ENST00000604191	ENSMUST00000130733	成功
ENSG00000269821	ENSMUSG00000104485	ENST00000597346	ENSMUST00000193147	成功
ENSG00000270403	ENSMUSG00000085831	ENST00000604533	ENSMUST00000129215	成功
ENSG00000231538	ENSMUSG00000102940	ENST00000417844	ENSMUST00000195556	成功
ENSG00000279400	ENSMUSG00000103047	ENST00000624112	ENSMUST00000195237	成功
ENSG00000253837	ENSMUSG00000103720	ENST00000519692	ENSMUST00000193352	成功
ENSG00000249550	ENSMUSG00000106915	ENST00000510694	ENSMUST00000202782	成功
ENSG00000273107	ENSMUSG00000075514	ENST00000610158	ENSMUST00000126967	成功
ENSG00000250326	ENSMUSG00000037982	ENST00000507826	ENSMUST00000166229	成功
ENSG00000224424	ENSMUSG00000103754	ENST00000431705	ENSMUST00000193607	成功
ENSG00000274653	ENSMUSG00000108327	ENST00000611264	ENSMUST00000206939	成功
ENSG00000232294	ENSMUSG00000086238	ENST00000448013	ENSMUST00000144607	成功
ENSG00000252690	ENSMUSG00000097277	ENST00000607520	ENSMUST00000180385	成功
ENSG00000279630	ENSMUSG00000086054	ENST00000551683	ENSMUST00000129609	成功
ENSG00000242588	ENSMUSG00000092090	ENST00000605862	ENSMUST00000164104	成功
ENSG00000215386	ENSMUSG00000102854	ENST00000619222	ENSMUST00000193537	成功
ENSG00000233002	ENSMUSG00000098292	ENST00000433873	ENSMUST00000175753	成功
ENSG00000231605	ENSMUSG00000089829	ENST00000457941	ENSMUST00000159138	成功
ENSG00000261840	ENSMUSG00000101225	ENST00000568500	ENSMUST00000185351	成功
ENSG00000230461	ENSMUSG00000103644	ENST00000610094	ENSMUST00000193966	成功
ENSG00000229522	ENSMUSG00000086820	ENST00000425385	ENSMUST00000127942	成功
ENSG00000278936	ENSMUSG00000103985	ENST00000624549	ENSMUST00000193015	成功
ENSG00000225981	ENSMUSG00000106056	ENST00000445345	ENSMUST00000198000	成功
ENSG00000224870	ENSMUSG00000086549	ENST00000572242	ENSMUST00000138361	成功
ENSG00000247624	ENSMUSG00000085720	ENST00000500394	ENSMUST00000140650	成功
ENSG00000269296	ENSMUSG00000108592	ENST00000598952	ENSMUST00000206810	成功
ENSG00000278214	ENSMUSG00000097983	ENST00000612023	ENSMUST00000182423	成功
ENSG00000253557	ENSMUSG00000095306	ENST00000520920	ENSMUST00000178529	成功
ENSG00000274993	ENSMUSG00000106237	ENST00000610769	ENSMUST00000197762	成功
ENSG00000254286	ENSMUSG00000097493	ENST00000520512	ENSMUST00000181910	成功
ENSG00000268518	ENSMUSG00000108322	ENST00000595005	ENSMUST00000206342	成功
ENSG00000282057	ENSMUSG00000097183	ENST00000498304	ENSMUST00000197148	成功
ENSG00000235099	ENSMUSG00000086774	ENST00000452624	ENSMUST00000153669	成功
ENSG00000267344	ENSMUSG00000085887	ENST00000592389	ENSMUST00000124462	成功
ENSG00000280047	ENSMUSG00000089983	ENST00000622952	ENSMUST00000160935	成功
ENSG00000269807	ENSMUSG00000097077	ENST00000594776	ENSMUST00000181962	成功
ENSG00000226180	ENSMUSG00000103904	ENST00000538868	ENSMUST00000195830	成功
ENSG00000223576	ENSMUSG00000100017	ENST00000422148	ENSMUST00000186474	成功
ENSG00000278973	ENSMUSG00000105583	ENST00000623062	ENSMUST00000197269	成功
ENSG00000254109	ENSMUSG00000054618	ENST00000519753	ENSMUST00000149618	成功
ENSG00000241720	ENSMUSG00000087357	ENST00000431955	ENSMUST00000138374	成功
ENSG00000273100	ENSMUSG00000097566	ENST00000610240	ENSMUST00000181251	成功
ENSG00000270212	ENSMUSG00000108657	ENST00000604605	ENSMUST00000205323	成功
ENSG00000215256	ENSMUSG00000086341	ENST00000399886	ENSMUST00000135068	成功
ENSG00000179136	ENSMUSG00000085162	ENST00000313495	ENSMUST00000128453	成功
ENSG00000223440	ENSMUSG00000087137	ENST00000430787	ENSMUST00000144039	成功
ENSG00000271858	ENSMUSG00000090570	ENST00000607362	ENSMUST00000163196	成功
ENSG00000245937	ENSMUSG00000086607	ENST00000508878	ENSMUST00000137603	成功
ENSG00000229258	ENSMUSG00000103114	ENST00000429499	ENSMUST00000192778	成功
ENSG00000279622	ENSMUSG00000097960	ENST00000625056	ENSMUST00000183235	成功
ENSG00000256806	ENSMUSG00000018451	ENST00000542475	ENSMUST00000156068	成功
ENSG00000273018	ENSMUSG00000042549	ENST00000425211	ENSMUST00000123544	成功
ENSG00000227467	ENSMUSG00000109656	ENST00000450804	ENSMUST00000210076	成功
