human_id,other_id,sim
ENST00000624183.1|ENSG00000279559.1|OTTHUMG00000176261.1|OTTHUMT00000431693.1|RP11-739A13.1-001|RP11-739A13.1|307|,ENSMUST00000067618.4|ENSMUSG00000054510.5|OTTMUSG00000016703.1|OTTMUST00000040456.1|Gm14461-001|Gm14461|1780|,0.93695015
ENST00000444968.1|ENSG00000240731.1|OTTHUMG00000003331.1|OTTHUMT00000009383.1|RP5-890O3.9-001|RP5-890O3.9|386|,ENSMUST00000067628.1|ENSMUSG00000054514.3|OTTMUSG00000010854.2|OTTMUST00000025397.1|Atad3aos-001|Atad3aos|971|,0.92256224
ENST00000568092.1|ENSG00000261296.1|OTTHUMG00000173105.1|OTTHUMT00000422150.1|RP11-299H22.6-001|RP11-299H22.6|3511|,ENSMUST00000068526.6|ENSMUSG00000055125.7|OTTMUSG00000045523.1|OTTMUST00000119359.1|M5C1000I18Rik-002|M5C1000I18Rik|1497|,0.9691936
ENST00000561471.1|ENSG00000261552.1|OTTHUMG00000176709.1|OTTHUMT00000433239.1|RP11-264B17.5-001|RP11-264B17.5|454|,ENSMUST00000068836.4|ENSMUSG00000055323.5|OTTMUSG00000058354.1|OTTMUST00000143314.1|Gm9967-003|Gm9967|1854|,0.93626165
ENST00000488425.1|ENSG00000244215.1|OTTHUMG00000159640.1|OTTHUMT00000356636.1|RP11-88I21.2-001|RP11-88I21.2|927|,ENSMUST00000068968.11|ENSMUSG00000055403.13|OTTMUSG00000027022.2|OTTMUST00000066796.2|4933427D06Rik-001|4933427D06Rik|2620|,0.9626008
ENST00000572035.1|ENSG00000255135.3|OTTHUMG00000165292.2|OTTHUMT00000438010.1|RP11-111M22.3-006|RP11-111M22.3|738|,ENSMUST00000069035.5|ENSMUSG00000055446.5|OTTMUSG00000058875.1|OTTMUST00000144510.1|A630091E08Rik-001|A630091E08Rik|828|,0.9007649
ENST00000607421.1|ENSG00000272173.1|OTTHUMG00000185702.1|OTTHUMT00000471024.1|U47924.31-001|U47924.31|1097|,ENSMUST00000069553.2|ENSMUSG00000055818.2|OTTMUSG00000024520.1|OTTMUST00000060184.1|A230083G16Rik-001|A230083G16Rik|991|,0.954731
ENST00000514073.1|ENSG00000253917.4|OTTHUMG00000160213.2|OTTHUMT00000359781.1|AC226119.5-001|AC226119.5|682|,ENSMUST00000069741.3|ENSMUSG00000055944.3|OTTMUSG00000044398.1|OTTMUST00000116875.1|E130018O15Rik-001|E130018O15Rik|3776|,0.94952315
ENST00000569449.1|ENSG00000260244.1|OTTHUMG00000175885.1|OTTHUMT00000431236.1|RP11-588K22.2-001|RP11-588K22.2|2615|,ENSMUST00000069880.2|ENSMUSG00000056023.3|OTTMUSG00000051752.1|OTTMUST00000130445.1|Gm9989-002|Gm9989|3196|,0.97917056
ENST00000606283.1|ENSG00000272050.1|OTTHUMG00000185378.1|OTTHUMT00000470367.1|RP13-379O24.3-001|RP13-379O24.3|725|,ENSMUST00000069943.3|ENSMUSG00000056061.3|OTTMUSG00000016300.1|OTTMUST00000039169.1|Gata5os-001|Gata5os|1678|,0.94450545
ENST00000562952.1|ENSG00000261654.1|OTTHUMG00000175996.1|OTTHUMT00000431363.1|RP11-96K19.4-001|RP11-96K19.4|5985|,ENSMUST00000070085.5|ENSMUSG00000056145.5|OTTMUSG00000043281.1|OTTMUST00000113548.1|AI504432-001|AI504432|5569|,0.99107367
ENST00000443224.1|ENSG00000224215.1|OTTHUMG00000017817.1|OTTHUMT00000047212.1|RP11-371A19.2-001|RP11-371A19.2|892|,ENSMUST00000070378.2|ENSMUSG00000056329.3|OTTMUSG00000011491.1|-|1810010K12Rik-201|1810010K12Rik|1324|,0.9518597
ENST00000518927.1|ENSG00000254041.1|OTTHUMG00000164816.1|OTTHUMT00000380424.1|RP11-574O7.1-001|RP11-574O7.1|1031|,ENSMUST00000070382.4|ENSMUSG00000056332.4|OTTMUSG00000033304.2|OTTMUST00000083562.2|Gm16294-001|Gm16294|1459|,0.9481479
ENST00000504494.1|ENSG00000251678.1|OTTHUMG00000161903.1|OTTHUMT00000366354.1|CTD-2296D1.1-001|CTD-2296D1.1|564|,ENSMUST00000070942.1|ENSMUSG00000051805.1|OTTMUSG00000042493.1|OTTMUST00000112043.1|A530095I07Rik-001|A530095I07Rik|847|,0.943828
ENST00000581796.1|ENSG00000266598.1|OTTHUMG00000179317.1|OTTHUMT00000445722.1|RP11-583F2.5-001|RP11-583F2.5|537|,ENSMUST00000070956.3|ENSMUSG00000056687.9|OTTMUSG00000003456.2|OTTMUST00000007319.1|Gm11696-001|Gm11696|2765|,0.9398371
ENST00000417483.5|ENSG00000231971.5|OTTHUMG00000015617.1|OTTHUMT00000042325.1|RP11-557H15.3-001|RP11-557H15.3|1360|,ENSMUST00000071008.4|ENSMUSG00000056716.9|OTTMUSG00000048405.1|OTTMUST00000124100.1|Gm5420-002|Gm5420|699|,0.9457049
ENST00000622575.1|ENSG00000275091.1|OTTHUMG00000186616.1|OTTHUMT00000473472.1|CTB-55O6.13-001|CTB-55O6.13|352|,ENSMUST00000071067.3|ENSMUSG00000056753.3|OTTMUSG00000061192.1|OTTMUST00000149418.1|C330011M18Rik-001|C330011M18Rik|1849|,0.916753
ENST00000619492.1|ENSG00000275850.1|OTTHUMG00000187095.1|OTTHUMT00000474407.1|RP11-543P15.3-001|RP11-543P15.3|2400|,ENSMUST00000071101.7|ENSMUSG00000056771.7|OTTMUSG00000056455.1|OTTMUST00000139459.1|Gm10010-001|Gm10010|2346|,0.9788613
ENST00000424630.1|ENSG00000229591.1|OTTHUMG00000157258.1|OTTHUMT00000348210.1|RP5-981O7.2-001|RP5-981O7.2|673|,ENSMUST00000072180.4|ENSMUSG00000059244.6|OTTMUSG00000053843.1|-|Gm10062-201|Gm10062|1470|,0.95617986
ENST00000462083.3|ENSG00000242048.3|OTTHUMG00000157325.3|OTTHUMT00000348457.3|RP13-452N2.1-001|RP13-452N2.1|2383|,ENSMUST00000075081.6|ENSMUSG00000059631.6|OTTMUSG00000023553.1|OTTMUST00000057447.1|1500035N22Rik-001|1500035N22Rik|865|,0.9673044
ENST00000536898.5|ENSG00000205786.8|OTTHUMG00000048095.4|OTTHUMT00000466118.1|LINC01531-002|LINC01531|3312|,ENSMUST00000077142.2|ENSMUSG00000063623.3|OTTMUSG00000059306.1|OTTMUST00000145560.1|C230062I16Rik-002|C230062I16Rik|2372|,0.9732449
ENST00000445613.1|ENSG00000232555.1|OTTHUMG00000154230.1|OTTHUMT00000334500.1|AC104088.1-001|AC104088.1|510|,ENSMUST00000079720.5|ENSMUSG00000064263.6|OTTMUSG00000046256.1|OTTMUST00000120595.1|Platr26-001|Platr26|641|,0.94292367
ENST00000607857.1|ENSG00000271751.1|OTTHUMG00000185714.1|OTTHUMT00000471052.1|RP11-110I1.14-001|RP11-110I1.14|415|,ENSMUST00000080911.1|ENSMUSG00000060380.2|OTTMUSG00000033672.1|-|C030014I23Rik-201|C030014I23Rik|1810|,0.93430215
ENST00000635455.1|ENSG00000225605.2|OTTHUMG00000009790.2|OTTHUMT00000026985.2|RP11-550H2.1-001|RP11-550H2.1|969|,ENSMUST00000081193.1|ENSMUSG00000062046.1|OTTMUSG00000053458.1|OTTMUST00000133359.1|5730460C07Rik-001|5730460C07Rik|1834|,0.96850765
ENST00000422059.5|ENSG00000237686.6|OTTHUMG00000014752.2|OTTHUMT00000040699.1|RP5-1120P11.1-001|RP5-1120P11.1|2232|,ENSMUST00000087588.3|ENSMUSG00000067389.3|OTTMUSG00000036686.1|OTTMUST00000094005.1|Gm17080-001|Gm17080|811|,0.9391393
ENST00000614138.1|ENSG00000275055.1|OTTHUMG00000186778.1|OTTHUMT00000473763.1|CTC-471J1.11-001|CTC-471J1.11|748|,ENSMUST00000088829.3|ENSMUSG00000067951.4|OTTMUSG00000039813.1|OTTMUST00000103503.1|Vmn1r227-001|Vmn1r227|1027|,0.9509966
ENST00000434273.2|ENSG00000238189.2|OTTHUMG00000016817.2|OTTHUMT00000044716.2|ENOX1-AS2-001|ENOX1-AS2|609|,ENSMUST00000088880.10|ENSMUSG00000067973.11|OTTMUSG00000036879.1|OTTMUST00000094737.1|Gm6994-001|Gm6994|1163|,0.9384092
ENST00000597938.1|ENSG00000269256.1|OTTHUMG00000183096.1|OTTHUMT00000465053.1|RP11-325D15.2-001|RP11-325D15.2|592|,ENSMUST00000090409.1|ENSMUSG00000068680.1|OTTMUSG00000034629.1|OTTMUST00000087889.1|Gm10248-001|Gm10248|2731|,0.9599236
ENST00000502566.1|ENSG00000249901.1|OTTHUMG00000161685.1|OTTHUMT00000365721.1|RP11-781M16.2-001|RP11-781M16.2|659|,ENSMUST00000091023.1|ENSMUSG00000068957.1|OTTMUSG00000052191.1|OTTMUST00000131140.1|4930589L23Rik-001|4930589L23Rik|1364|,0.95116466
ENST00000526211.1|ENSG00000255027.2|OTTHUMG00000165871.2|OTTHUMT00000386787.1|RP11-680F20.9-001|RP11-680F20.9|569|,ENSMUST00000093873.8|ENSMUSG00000070315.11|OTTMUSG00000034714.1|OTTMUST00000088184.1|4930581F22Rik-001|4930581F22Rik|2402|,0.9173084
ENST00000600742.1|ENSG00000268006.1|OTTHUMG00000183257.1|OTTHUMT00000465822.1|PTOV1-AS1-001|PTOV1-AS1|3181|,ENSMUST00000094460.2|ENSMUSG00000070574.2|OTTMUSG00000058704.2|OTTMUST00000144207.2|2310016G11Rik-002|2310016G11Rik|992|,0.9766145
ENST00000512693.1|ENSG00000249476.1|OTTHUMG00000162848.1|OTTHUMT00000370753.1|CTD-2587M2.1-001|CTD-2587M2.1|5471|,ENSMUST00000097295.9|ENSMUSG00000073377.9|OTTMUSG00000036820.1|OTTMUST00000094540.1|AU016765-003|AU016765|946|,0.9447054
ENST00000434447.5|ENSG00000225857.5|OTTHUMG00000035182.1|OTTHUMT00000085150.1|RP11-46A10.2-002|RP11-46A10.2|543|,ENSMUST00000097531.2|ENSMUSG00000073535.5|OTTMUSG00000034795.2|OTTMUST00000088453.1|Gm5532-001|Gm5532|1751|,0.92793536
ENST00000507279.5|ENSG00000283155.1|OTTHUMG00000129504.7|OTTHUMT00000372957.1|AC011380.9-001|AC011380.9|576|,ENSMUST00000097612.3|ENSMUSG00000073594.3|OTTMUSG00000050624.1|OTTMUST00000128346.1|Gm10545-001|Gm10545|4969|,0.92369825
ENST00000412228.1|ENSG00000231050.1|OTTHUMG00000000941.1|OTTHUMT00000002766.1|RP1-140A9.1-001|RP1-140A9.1|906|,ENSMUST00000097740.2|ENSMUSG00000073679.2|OTTMUSG00000010894.2|OTTMUST00000025539.2|Mxra8os-001|Mxra8os|687|,0.9159201
ENST00000606533.1|ENSG00000271806.1|OTTHUMG00000185365.1|OTTHUMT00000470331.1|RP5-892K4.1-001|RP5-892K4.1|4196|,ENSMUST00000097750.2|ENSMUSG00000073686.2|OTTMUSG00000047135.1|OTTMUST00000121965.1|Gm10564-001|Gm10564|3113|,0.9824377
ENST00000454736.1|ENSG00000235434.1|OTTHUMG00000002710.1|OTTHUMT00000007695.1|RP11-91K11.2-001|RP11-91K11.2|447|,ENSMUST00000097827.3|ENSMUSG00000073739.3|OTTMUSG00000033208.2|OTTMUST00000083153.2|Gm16287-001|Gm16287|2324|,0.93756926
ENST00000526174.1|ENSG00000254721.1|OTTHUMG00000167265.1|OTTHUMT00000393903.1|RP11-805J14.5-001|RP11-805J14.5|976|,ENSMUST00000097928.2|ENSMUSG00000073778.2|OTTMUSG00000033374.1|OTTMUST00000083782.1|Faddos-001|Faddos|1053|,0.9698638
ENST00000531111.1|ENSG00000254397.1|OTTHUMG00000165754.1|OTTHUMT00000386029.1|CTD-2371O3.2-001|CTD-2371O3.2|597|,ENSMUST00000098110.2|ENSMUSG00000073867.2|OTTMUSG00000060168.1|OTTMUST00000147273.1|AA474408-001|AA474408|3339|,0.94816935
ENST00000630100.1|ENSG00000281264.1|OTTHUMG00000189721.2|OTTHUMT00000481346.2|SALRNA3-001|SALRNA3|1021|,ENSMUST00000098658.2|ENSMUSG00000074256.3|OTTMUSG00000047388.1|-|Gm10655-201|Gm10655|1397|,0.94193786
ENST00000610012.1|ENSG00000272784.1|OTTHUMG00000186440.1|OTTHUMT00000473150.1|RP11-335L23.5-001|RP11-335L23.5|634|,ENSMUST00000098781.2|ENSMUSG00000074357.3|OTTMUSG00000061494.1|-|AA386476-201|AA386476|1665|,0.94838667
ENST00000634128.1|ENSG00000282692.1|OTTHUMG00000190599.1|OTTHUMT00000485298.1|CTD-3212A4.2-001|CTD-3212A4.2|948|,ENSMUST00000098916.2|ENSMUSG00000074461.2|OTTMUSG00000060797.1|OTTMUST00000148625.1|Gm10699-001|Gm10699|2130|,0.9444918
ENST00000436848.1|ENSG00000237259.1|OTTHUMG00000031966.1|OTTHUMT00000078159.1|RP4-568F9.3-001|RP4-568F9.3|258|,ENSMUST00000099292.8|ENSMUSG00000074758.10|OTTMUSG00000033351.3|OTTMUST00000083705.2|Gm5535-001|Gm5535|1743|,0.9313644
ENST00000320202.8|ENSG00000181995.11|OTTHUMG00000141269.2|OTTHUMT00000280451.1|LINC00301-001|LINC00301|852|,ENSMUST00000099676.4|ENSMUSG00000075010.4|OTTMUSG00000044620.1|OTTMUST00000117372.1|AW112010-001|AW112010|770|,0.94950753
ENST00000530039.1|ENSG00000255032.1|OTTHUMG00000166476.1|OTTHUMT00000389902.1|RP11-45A12.2-001|RP11-45A12.2|628|,ENSMUST00000099693.8|ENSMUSG00000075025.10|OTTMUSG00000034200.1|OTTMUST00000086756.1|Gm10804-001|Gm10804|2244|,0.9304789
ENST00000458254.1|ENSG00000229779.1|OTTHUMG00000154111.1|OTTHUMT00000333948.1|AC016751.2-001|AC016751.2|306|,ENSMUST00000100000.2|ENSMUSG00000075277.4|OTTMUSG00000016593.1|-|Haglr-201|Haglr|2085|,0.9694257
ENST00000420825.1|ENSG00000231496.1|OTTHUMG00000017662.1|OTTHUMT00000046749.1|RP1-251M9.2-001|RP1-251M9.2|537|,ENSMUST00000100426.2|ENSMUSG00000075538.2|OTTMUSG00000046047.1|OTTMUST00000120250.1|Gm10855-001|Gm10855|2541|,0.95011413
ENST00000522524.1|ENSG00000253342.1|OTTHUMG00000163836.1|OTTHUMT00000375884.1|RP11-219J21.2-001|RP11-219J21.2|465|,ENSMUST00000100448.2|ENSMUSG00000075549.2|OTTMUSG00000037011.1|OTTMUST00000095168.1|Gm6878-001|Gm6878|2018|,0.9453484
ENST00000619739.1|ENSG00000278733.1|OTTHUMG00000187167.1|OTTHUMT00000474519.1|RP11-425D17.1-001|RP11-425D17.1|566|,ENSMUST00000100778.4|ENSMUSG00000072660.5|OTTMUSG00000026072.3|OTTMUST00000064351.3|Gm6288-001|Gm6288|1590|,0.94649816
ENST00000545400.1|ENSG00000256321.5|OTTHUMG00000169025.2|OTTHUMT00000401999.1|RP11-153K16.1-002|RP11-153K16.1|1629|,ENSMUST00000100817.5|ENSMUSG00000072679.10|OTTMUSG00000034611.1|OTTMUST00000087828.1|D6Ertd474e-001|D6Ertd474e|2149|,0.97104686
ENST00000612441.1|ENSG00000274885.1|OTTHUMG00000187116.1|OTTHUMT00000474445.1|RP11-268P4.6-001|RP11-268P4.6|480|,ENSMUST00000100821.2|ENSMUSG00000072683.3|OTTMUSG00000034610.1|OTTMUST00000087826.1|Gm7457-001|Gm7457|2459|,0.94971335
ENST00000581248.1|ENSG00000266824.1|OTTHUMG00000178442.1|OTTHUMT00000442010.1|RP11-599B13.7-001|RP11-599B13.7|465|,ENSMUST00000101007.2|ENSMUSG00000072809.2|OTTMUSG00000047090.1|OTTMUST00000121887.1|9330160F10Rik-001|9330160F10Rik|2766|,0.94953406
ENST00000456235.1|ENSG00000236819.1|OTTHUMG00000130762.1|OTTHUMT00000253268.1|LINC01563-001|LINC01563|750|,ENSMUST00000101077.2|ENSMUSG00000072847.4|OTTMUSG00000005844.2|-|A530017D24Rik-201|A530017D24Rik|2315|,0.9719697
